test_er	,	test_acc
0.016360962763428688	,	1.0
0.009210286661982536	,	1.0
0.00021387806918937713	,	1.0
0.07945670932531357	,	1.0
0.023103132843971252	,	1.0
0.21080872416496277	,	0.800000011920929
0.11710765212774277	,	1.0
0.008132349699735641	,	1.0
1.2421323845046572e-05	,	1.0
0.0003419953281991184	,	1.0
2.7179642074770527e-06	,	1.0
0.00020607191254384816	,	1.0
4.186282239970751e-05	,	1.0
0.0006272097816690803	,	1.0
1.3565804692916572e-05	,	1.0
0.00015428775805048645	,	1.0
0.5955402851104736	,	0.800000011920929
0.0002264203067170456	,	1.0
0.00022759486455470324	,	1.0
8.129965863190591e-06	,	1.0
0.3045101761817932	,	0.800000011920929
0.0005181538872420788	,	1.0
4.913279553875327e-05	,	1.0
1.4519388969347347e-05	,	1.0
0.00045009510358795524	,	1.0
0.0004350890521891415	,	1.0
0.7427449822425842	,	0.800000011920929
0.001193443313241005	,	1.0
0.0001535798073746264	,	1.0
0.0005530531634576619	,	1.0
0.0007480624481104314	,	1.0
0.001727604540064931	,	1.0
0.17568810284137726	,	1.0
6.699499408568954e-06	,	1.0
0.00012060689186910167	,	1.0
0.001992213074117899	,	1.0
1.5187060853349976e-05	,	1.0
5.960385351500008e-06	,	1.0
0.00032594322692602873	,	1.0
0.00885793473571539	,	1.0
3.5665852919919416e-05	,	1.0
0.000349495152477175	,	1.0
0.0003259546065237373	,	1.0
0.00043427315540611744	,	1.0
0.004470420069992542	,	1.0
0.009867314249277115	,	1.0
0.038591932505369186	,	1.0
6.310029129963368e-05	,	1.0
0.003951567225158215	,	1.0
4.339196493674535e-06	,	1.0
3.380617272341624e-05	,	1.0
2.062270141323097e-05	,	1.0
0.0005353676970116794	,	1.0
7.311213994398713e-05	,	1.0
0.00010907228715950623	,	1.0
0.0006887493073008955	,	1.0
0.0007123927352949977	,	1.0
0.0008649341762065887	,	1.0
0.024198681116104126	,	1.0
1.6688834875822067e-05	,	1.0
0.00018609093967825174	,	1.0
1.8834998627426103e-06	,	1.0
7.271682989085093e-06	,	1.0
0.0009554391726851463	,	1.0
0.00035127863520756364	,	1.0
0.031141653656959534	,	1.0
0.00035770251997746527	,	1.0
0.0034148686099797487	,	1.0
0.12288206815719604	,	1.0
0.009185614064335823	,	1.0
0.03976735100150108	,	1.0
0.0005925657460466027	,	1.0
0.19875755906105042	,	1.0
4.379383972263895e-05	,	1.0
0.48700618743896484	,	0.800000011920929
6.18842095718719e-05	,	1.0
0.05450121685862541	,	1.0
2.9586948585347272e-05	,	1.0
0.002943191444501281	,	1.0
0.00013932641013525426	,	1.0
1.3994731489219703e-05	,	1.0
0.07723778486251831	,	1.0
0.0615340881049633	,	1.0
0.058527421206235886	,	1.0
0.0013239884283393621	,	1.0
0.00013516047329176217	,	1.0
0.0020570014603435993	,	1.0
0.017583925276994705	,	1.0
0.00017581584688741714	,	1.0
0.0015058205462992191	,	1.0
0.0163644440472126	,	1.0
0.00973545666784048	,	1.0
0.0017366798128932714	,	1.0
0.008893104270100594	,	1.0
0.031304869800806046	,	1.0
0.0013394356938079	,	1.0
3.5427270631771535e-05	,	1.0
4.7683701609457785e-07	,	1.0
0.00042454199865460396	,	1.0
0.0002166616905014962	,	1.0
0.01227929163724184	,	1.0
0.01398424617946148	,	1.0
8.057556260609999e-05	,	1.0
4.863697540713474e-06	,	1.0
0.012878596782684326	,	1.0
0.00041469893767498434	,	1.0
0.002006103750318289	,	1.0
0.00286665977910161	,	1.0
1.0371074495196808e-05	,	1.0
2.7559366571949795e-05	,	1.0
0.0007123058312572539	,	1.0
0.00015522385365329683	,	1.0
5.6096592743415385e-05	,	1.0
6.560581095982343e-05	,	1.0
0.0001857603492680937	,	1.0
1.0156535608984996e-05	,	1.0
0.011301516555249691	,	1.0
0.058796368539333344	,	1.0
3.6238190659787506e-05	,	1.0
0.0002861735410988331	,	1.0
0.0032373196445405483	,	1.0
5.41160479770042e-05	,	1.0
0.00039986163028515875	,	1.0
6.198826213221764e-06	,	1.0
0.003926621749997139	,	1.0
1.978803993551992e-05	,	1.0
1.2373677236610092e-05	,	1.0
0.00875931791961193	,	1.0
3.49748988810461e-05	,	1.0
5.722042146771855e-07	,	1.0
0.0027647423557937145	,	1.0
0.02000255510210991	,	1.0
0.00017046459834091365	,	1.0
5.936585694144014e-06	,	1.0
0.0070431591011583805	,	1.0
4.4508073187898844e-05	,	1.0
1.9669130779220723e-05	,	1.0
9.536732363812916e-07	,	1.0
0.034691255539655685	,	1.0
3.225674299756065e-05	,	1.0
0.004124040249735117	,	1.0
0.0874357596039772	,	1.0
0.00011289356916677207	,	1.0
0.0029088701121509075	,	1.0
0.00018074506078846753	,	1.0
0.001713158912025392	,	1.0
0.5410236120223999	,	0.800000011920929
0.005809582304209471	,	1.0
0.12867985665798187	,	1.0
6.437295496652951e-07	,	1.0
0.0018369592726230621	,	1.0
5.776479883934371e-05	,	1.0
5.306496314005926e-05	,	1.0
7.463496149284765e-05	,	1.0
5.793520358565729e-06	,	1.0
0.00423499895259738	,	1.0
3.1232725632435177e-06	,	1.0
0.0005042189150117338	,	1.0
7.385378557955846e-05	,	1.0
0.0006343397544696927	,	1.0
0.00015799464017618448	,	1.0
2.5580764486221597e-05	,	1.0
7.923755765659735e-05	,	1.0
0.00014952843775972724	,	1.0
3.4234359191032127e-05	,	1.0
6.437292086047819e-07	,	1.0
7.46245223126607e-06	,	1.0
0.00404126662760973	,	1.0
0.043892309069633484	,	1.0
4.2770585423568264e-05	,	1.0
0.00011185996845597401	,	1.0
0.00011425106640672311	,	1.0
0.0014168072957545519	,	1.0
1.554448317619972e-05	,	1.0
2.1719246433349326e-05	,	1.0
0.007737775798887014	,	1.0
0.00036928258487023413	,	1.0
0.000312517600832507	,	1.0
0.582840085029602	,	0.6000000238418579
0.5414618253707886	,	0.800000011920929
3.878929419443011e-05	,	1.0
0.00044061747030355036	,	1.0
0.002299956511706114	,	1.0
0.00012371792399790138	,	1.0
3.809703412116505e-05	,	1.0
0.00010956158803310245	,	1.0
3.5497847420629114e-05	,	1.0
0.001050409977324307	,	1.0
6.29846181254834e-05	,	1.0
0.04316483438014984	,	1.0
0.0021623054053634405	,	1.0
0.09223134815692902	,	1.0
0.006358746439218521	,	1.0
0.00016747284098528326	,	1.0
0.0008469520253129303	,	1.0
0.0008819842478260398	,	1.0
8.058481398620643e-06	,	1.0
0.00026754956343211234	,	1.0
7.462454050255474e-06	,	1.0
0.009094891138374805	,	1.0
0.0001146258000517264	,	1.0
4.439109761733562e-05	,	1.0
0.19734135270118713	,	0.800000011920929
4.9943686462938786e-05	,	1.0
1.2779006283381023e-05	,	1.0
0.007123973220586777	,	1.0
1.2230544598423876e-05	,	1.0
0.0005326283862814307	,	1.0
0.0031387426424771547	,	1.0
0.0038227601908147335	,	1.0
9.339513053419068e-05	,	1.0
0.0028346942272037268	,	1.0
0.002697922755032778	,	1.0
0.006645091809332371	,	1.0
0.0012430872302502394	,	1.0
1.389945282426197e-05	,	1.0
0.005282500293105841	,	1.0
0.0006947381771169603	,	1.0
1.5020352748251753e-06	,	1.0
0.3947920501232147	,	0.800000011920929
6.777428643545136e-05	,	1.0
0.0010571808088570833	,	1.0
0.00010467517131473869	,	1.0
9.298311169914086e-07	,	1.0
4.6964290959294885e-05	,	1.0
0.5695394277572632	,	0.800000011920929
0.010144280269742012	,	1.0
0.00011404709948692471	,	1.0
7.319414635276189e-06	,	1.0
0.08509308844804764	,	1.0
0.00012410615454427898	,	1.0
1.2469118701119442e-05	,	1.0
2.0264717022655532e-05	,	1.0
9.227990813087672e-05	,	1.0
0.0007684113224968314	,	1.0
1.0633206329657696e-05	,	1.0
0.0003284303820692003	,	1.0
0.017807476222515106	,	1.0
5.585536200669594e-05	,	1.0
0.005861780606210232	,	1.0
0.016134090721607208	,	1.0
0.0004534051404334605	,	1.0
7.790323434164748e-05	,	1.0
0.0013120404910296202	,	1.0
4.207680467516184e-05	,	1.0
0.0002955159288831055	,	1.0
0.0018989595118910074	,	1.0
0.00011204045586055145	,	1.0
0.0001360683818347752	,	1.0
0.010867614299058914	,	1.0
0.0726207047700882	,	1.0
7.152549414968234e-07	,	1.0
0.011021433398127556	,	1.0
0.0008121156133711338	,	1.0
1.4209358596417587e-05	,	1.0
0.0007550079608336091	,	1.0
0.00030499373679049313	,	1.0
0.00510841328650713	,	1.0
0.39828330278396606	,	0.800000011920929
0.006876656319946051	,	1.0
0.006113020703196526	,	1.0
0.0014900454552844167	,	1.0
0.0473187230527401	,	1.0
0.12166212499141693	,	1.0
7.694736996199936e-05	,	1.0
8.296054875245318e-05	,	1.0
3.3855344554467592e-06	,	1.0
0.04282156378030777	,	1.0
0.00013309463975019753	,	1.0
0.0006463114987127483	,	1.0
0.01229547057300806	,	1.0
2.7894832328456687e-06	,	1.0
0.002115201437845826	,	1.0
0.00020868473802693188	,	1.0
0.00019676712690852582	,	1.0
0.002892875112593174	,	1.0
0.9840000009040037	,	0.005233195645330055
